farm_id,crop_type,yield_shipped,yield_anchor_corrected
884,Cotton,0.318,0.318
885,Groundnut,1.37,1.37
886,Groundnut,1.3,1.3
887,Bajra,1.774,1.1700294767870303
888,Bajra,2.638,1.7398747236551215
889,Groundnut,1.195,1.195
890,Bajra,1.812,1.1950921149594695
891,Bajra,2.086,1.375806927044952
892,Groundnut,1.87,1.87
893,Cotton,0.433,0.433
894,Bajra,1.754,1.1568386145910097
895,Cotton,0.332,0.332
896,Bajra,2.709,1.786702284450995
897,Cotton,0.222,0.222
898,Cotton,0.354,0.354
899,Cotton,0.265,0.265
900,Maize,2.063,2.063
901,Cotton,0.395,0.395
902,Cotton,0.315,0.315
903,Groundnut,1.871,1.871
904,Rice,1.203,1.203
905,Cotton,0.362,0.362
906,Cotton,0.324,0.324
907,Bajra,3.001,1.979288872512896
908,Cotton,0.382,0.382
909,Cotton,0.388,0.388
910,Cotton,0.321,0.321
911,Cotton,0.264,0.264
912,Cotton,0.278,0.278
913,Bajra,2.554,1.684473102431835
914,Groundnut,1.764,1.764
915,Bajra,2.442,1.6106042741341196
916,Cotton,0.264,0.264
917,Groundnut,1.908,1.908
918,Groundnut,1.758,1.758
919,Cotton,0.37,0.37
920,Cotton,0.38,0.38
921,Bajra,2.461,1.6231355932203388
922,Cotton,0.383,0.383
923,Bajra,2.454,1.6185187914517318
924,Maize,2.514,2.514
925,Maize,2.181,2.181
926,Cotton,0.466,0.466
927,Groundnut,1.674,1.674
928,Bajra,2.996,1.975991156963891
929,Cotton,0.383,0.383
930,Groundnut,1.761,1.761
931,Rice,2.176,2.176
932,Cotton,0.325,0.325
933,Cotton,0.356,0.356
934,Cotton,0.34,0.34
935,Rice,1.458,1.458
936,Maize,1.992,1.992
937,Cotton,0.24,0.24
938,Bajra,2.252,1.4852910832719233
939,Cotton,0.351,0.351
940,Groundnut,1.47,1.47
941,Cotton,0.413,0.413
942,Groundnut,1.482,1.482
943,Groundnut,1.665,1.665
944,Cotton,0.298,0.298
945,Cotton,0.259,0.259
946,Cotton,0.209,0.209
947,Groundnut,1.842,1.842
948,Bajra,2.579,1.7009616801768608
949,Cotton,0.347,0.347
950,Groundnut,1.881,1.881
951,Bajra,2.923,1.9278445099484156
952,Bajra,2.131,1.4054863669859985
953,Bajra,2.429,1.602030213706706
954,Groundnut,1.849,1.849
955,Groundnut,1.463,1.463
956,Groundnut,1.399,1.399
957,Cotton,0.334,0.334
958,Bajra,2.026,1.3362343404568902
959,Cotton,0.33,0.33
960,Groundnut,1.056,1.056
961,Cotton,0.263,0.263
962,Cotton,0.31,0.31
963,Cotton,0.31,0.31
964,Cotton,0.31,0.31
965,Cotton,0.31,0.31
966,Rice,1.872,1.872
